loss,binary_accuracy
0.6473158001899719,0.6366119980812073
0.551311194896698,0.7568305730819702
0.5057204365730286,0.7896174788475037
0.47556981444358826,0.7950819730758667
0.46632522344589233,0.8023679256439209
0.4629878103733063,0.8014571666717529
0.44630569219589233,0.7950819730758667
0.4330267906188965,0.8105646371841431
0.4450589120388031,0.806010901927948
0.44775620102882385,0.8014571666717529
0.43438419699668884,0.806921660900116
0.4218224287033081,0.813296914100647
0.43102630972862244,0.817850649356842
0.43829184770584106,0.8224043846130371
0.43255308270454407,0.813296914100647
0.42085838317871094,0.8224043846130371
0.4338547885417938,0.806010901927948
0.4160224199295044,0.8196721076965332
0.4243728816509247,0.8196721076965332
0.4191254675388336,0.81876140832901
